N_ls,N_ts,k,h_s,t_s,L,A,t_eq,NUS_1A,NUS_2A
4,4,0.6,21.0,35.0,1084.0,12740.0,11.75,1.339,1.515
4,4,0.475,19.0,40.0,1076.0,12840.0,11.93,1.27,1.435
4,5,24.2,121.0,5.0,1484.0,12220.0,8.23,0.742,1.896
4,5,6.1,61.0,10.0,1244.0,12240.0,9.84,1.855,4.052
4,5,2.733,41.0,15.0,1164.0,12260.0,10.53,1.746,3.365
4,5,1.55,31.0,20.0,1124.0,12280.0,10.93,1.612,2.273
4,5,1.0,25.0,25.0,1100.0,12300.0,11.18,1.433,1.785
4,5,0.7,21.0,30.0,1084.0,12320.0,11.37,1.298,1.509
4,5,0.542,19.0,35.0,1076.0,12460.0,11.58,1.244,1.476
4,5,0.4,16.0,40.0,1064.0,12360.0,11.62,1.146,1.277
5,2,37.6,188.0,5.0,1940.0,14500.0,7.47,0.367,0.881
5,2,9.5,95.0,10.0,1475.0,14550.0,9.86,1.845,4.394
5,2,4.266,64.0,15.0,1320.0,14600.0,11.06,1.684,5.307
5,2,2.4,48.0,20.0,1240.0,14600.0,11.77,1.578,3.314
5,2,1.56,39.0,25.0,1195.0,14675.0,12.28,1.511,2.55
5,2,1.1,33.0,30.0,1165.0,14750.0,12.66,1.462,2.109
5,2,0.8,28.0,35.0,1140.0,14700.0,12.89,1.433,1.806
5,2,0.625,25.0,40.0,1125.0,14800.0,13.16,1.347,1.648
5,3,30.8,154.0,5.0,1770.0,13650.0,7.71,0.534,1.282
5,3,7.8,78.0,10.0,1390.0,13700.0,9.86,1.883,4.191
5,3,3.466,52.0,15.0,1260.0,13700.0,10.87,1.714,4.29
5,3,2.0,40.0,20.0,1200.0,13800.0,11.5,1.616,2.824
5,3,1.28,32.0,25.0,1160.0,13800.0,11.9,1.566,2.134
5,3,0.9,27.0,30.0,1135.0,13850.0,12.2,1.519,1.821
5,3,0.657,23.0,35.0,1115.0,13825.0,12.4,1.45,1.58
5,3,0.525,21.0,40.0,1105.0,14000.0,12.67,1.39,1.567
5,4,26.2,131.0,5.0,1655.0,13075.0,7.9,0.699,1.654
5,4,6.6,66.0,10.0,1330.0,13100.0,9.85,1.868,3.859
5,4,3.0,45.0,15.0,1225.0,13175.0,10.76,1.732,3.725
5,4,1.7,34.0,20.0,1170.0,13200.0,11.28,1.651,2.371
5,4,1.08,27.0,25.0,1135.0,13175.0,11.61,1.556,1.818
5,4,0.766,23.0,30.0,1115.0,13250.0,11.88,1.439,1.595
5,4,0.571,20.0,35.0,1100.0,13300.0,12.09,1.319,1.461
5,4,0.45,18.0,40.0,1090.0,13400.0,12.29,1.254,1.452
5,5,22.6,113.0,5.0,1565.0,12625.0,8.07,0.93,2.101
5,5,5.7,57.0,10.0,1285.0,12650.0,9.84,1.817,3.513
5,5,2.6,39.0,15.0,1195.0,12725.0,10.65,1.727,3.091
5,5,1.45,29.0,20.0,1145.0,12700.0,11.09,1.558,2.015
5,5,0.96,24.0,25.0,1120.0,12800.0,11.43,1.424,1.682
5,5,0.666,20.0,30.0,1100.0,12800.0,11.64,1.27,1.461
5,5,0.485,17.0,35.0,1085.0,12775.0,11.77,1.145,1.377
5,5,0.375,15.0,40.0,1075.0,12800.0,11.91,1.124,1.347
